latitude,longitude,time,easting,northing
51.856695,-1.284099,0.0,618169.1397662006,5746491.436029773
51.856695,-1.284099,0.20000000000436557,618169.1397662006,5746491.436029773
51.856694,-1.284099,0.4000000000014552,618169.1423863042,5746491.324821437
51.856694,-1.284099,0.5999999999985448,618169.1423863042,5746491.324821437
51.856694,-1.284099,0.8000000000029104,618169.1423863042,5746491.324821437
51.856694,-1.284099,1.0,618169.1423863042,5746491.324821437
51.856694,-1.284099,1.2000000000043656,618169.1423863042,5746491.324821437
51.856694,-1.284099,1.4000000000014552,618169.1423863042,5746491.324821437
51.856694,-1.284099,1.5999999999985306,618169.1423863042,5746491.324821437
51.856694,-1.284099,1.8000000000029104,618169.1423863042,5746491.324821437
51.856694,-1.284099,2.0,618169.1423863042,5746491.324821437
51.856694,-1.284099,2.20000000000438,618169.1423863042,5746491.324821437
51.856694,-1.284099,2.400000000001455,618169.1423863042,5746491.324821437
51.856694,-1.284099,2.5999999999985306,618169.1423863042,5746491.324821437
51.856694,-1.284099,2.8000000000029104,618169.1423863042,5746491.324821437
51.856694,-1.284099,3.0,618169.1423863042,5746491.324821437
51.856694,-1.284099,3.20000000000438,618169.1423863042,5746491.324821437
51.856694,-1.284099,3.400000000001455,618169.1423863042,5746491.324821437
51.856694,-1.284099,3.5999999999985306,618169.1423863042,5746491.324821437
51.856694,-1.284099,3.8000000000029104,618169.1423863042,5746491.324821437
51.856694,-1.284099,4.0,618169.1423863042,5746491.324821437
51.856694,-1.284099,4.20000000000438,618169.1423863042,5746491.324821437
51.856694,-1.284099,4.400000000001455,618169.1423863042,5746491.324821437
51.856694,-1.284099,4.599999999998531,618169.1423863042,5746491.324821437
51.856694,-1.284099,4.80000000000291,618169.1423863042,5746491.324821437
51.856694,-1.284099,5.0,618169.1423863042,5746491.324821437
51.856694,-1.284099,5.20000000000438,618169.1423863042,5746491.324821437
51.856694,-1.284099,5.400000000001455,618169.1423863042,5746491.324821437
51.856694,-1.284099,5.599999999998531,618169.1423863042,5746491.324821437
51.856694,-1.284099,5.80000000000291,618169.1423863042,5746491.324821437
51.856694,-1.284099,6.0,618169.1423863042,5746491.324821437
51.856694,-1.284099,6.20000000000438,618169.1423863042,5746491.324821437
51.856694,-1.284099,6.400000000001455,618169.1423863042,5746491.324821437
51.856694,-1.284099,6.599999999998531,618169.1423863042,5746491.324821437
51.856694,-1.284099,6.80000000000291,618169.1423863042,5746491.324821437
51.856694,-1.284099,7.0,618169.1423863042,5746491.324821437
51.856694,-1.284099,7.20000000000438,618169.1423863042,5746491.324821437
51.856694,-1.284098,7.400000000001455,618169.2112485475,5746491.326443853
51.856694,-1.284098,7.599999999998531,618169.2112485475,5746491.326443853
51.856694,-1.284098,7.80000000000291,618169.2112485475,5746491.326443853
51.856694,-1.284098,8.0,618169.2112485475,5746491.326443853
51.856694,-1.284098,8.20000000000438,618169.2112485475,5746491.326443853
51.856694,-1.284098,8.400000000001455,618169.2112485475,5746491.326443853
51.856694,-1.284098,8.59999999999853,618169.2112485475,5746491.326443853
51.856694,-1.284098,8.80000000000291,618169.2112485475,5746491.326443853
51.856694,-1.284098,9.0,618169.2112485475,5746491.326443853
51.856694,-1.284098,9.20000000000438,618169.2112485475,5746491.326443853
51.856694,-1.284098,9.400000000001455,618169.2112485475,5746491.326443853
51.856694,-1.284098,9.59999999999853,618169.2112485475,5746491.326443853
51.856694,-1.284098,9.80000000000291,618169.2112485475,5746491.326443853
51.856694,-1.284098,10.0,618169.2112485475,5746491.326443853
51.856694,-1.284098,10.20000000000438,618169.2112485475,5746491.326443853
51.856694,-1.284098,10.400000000001455,618169.2112485475,5746491.326443853
51.856694,-1.284098,10.59999999999853,618169.2112485475,5746491.326443853
51.856694,-1.284098,10.80000000000291,618169.2112485475,5746491.326443853
51.856694,-1.284098,11.0,618169.2112485475,5746491.326443853
51.856694,-1.284098,11.20000000000438,618169.2112485475,5746491.326443853
51.856694,-1.284098,11.400000000001455,618169.2112485475,5746491.326443853
51.856694,-1.284098,11.59999999999853,618169.2112485475,5746491.326443853
51.856694,-1.284098,11.80000000000291,618169.2112485475,5746491.326443853
51.856694,-1.284098,12.0,618169.2112485475,5746491.326443853
51.856694,-1.284098,12.20000000000438,618169.2112485475,5746491.326443853
51.856694,-1.284098,12.400000000001455,618169.2112485475,5746491.326443853
51.856694,-1.284098,12.59999999999853,618169.2112485475,5746491.326443853
51.856694,-1.284098,12.80000000000291,618169.2112485475,5746491.326443853
51.856694,-1.284098,13.0,618169.2112485475,5746491.326443853
51.856694,-1.284098,13.20000000000438,618169.2112485475,5746491.326443853
51.856694,-1.284098,13.400000000001455,618169.2112485475,5746491.326443853
51.856693,-1.284098,13.59999999999853,618169.2138686527,5746491.215235516
51.856693,-1.284098,13.80000000000291,618169.2138686527,5746491.215235516
51.856693,-1.284098,14.0,618169.2138686527,5746491.215235516
51.856693,-1.284098,14.20000000000438,618169.2138686527,5746491.215235516
51.856693,-1.284098,14.400000000001455,618169.2138686527,5746491.215235516
51.856693,-1.284098,14.59999999999853,618169.2138686527,5746491.215235516
51.856693,-1.284098,14.80000000000291,618169.2138686527,5746491.215235516
51.856693,-1.284098,15.0,618169.2138686527,5746491.215235516
51.856693,-1.284098,15.20000000000438,618169.2138686527,5746491.215235516
51.856693,-1.284098,15.400000000001455,618169.2138686527,5746491.215235516
51.856693,-1.284098,15.59999999999853,618169.2138686527,5746491.215235516
51.856693,-1.284098,15.80000000000291,618169.2138686527,5746491.215235516
51.856693,-1.284098,16.0,618169.2138686527,5746491.215235516
