latitude,longitude,time,easting,northing
51.856631,-1.284081,0.0,618170.5469748678,5746484.347899952
51.856631,-1.284081,0.2000000000007276,618170.5469748678,5746484.347899952
51.856631,-1.284081,0.4000000000014552,618170.5469748678,5746484.347899952
51.856631,-1.284081,0.6000000000021828,618170.5469748678,5746484.347899952
51.856631,-1.284081,0.8000000000029104,618170.5469748678,5746484.347899952
51.856631,-1.284081,1.0,618170.5469748678,5746484.347899952
51.856631,-1.284081,1.2000000000007276,618170.5469748678,5746484.347899952
51.856631,-1.284081,1.4000000000014552,618170.5469748678,5746484.347899952
51.856631,-1.284081,1.6000000000021828,618170.5469748678,5746484.347899952
51.856631,-1.284081,1.8000000000029104,618170.5469748678,5746484.347899952
51.856631,-1.284081,2.0,618170.5469748678,5746484.347899952
51.856631,-1.284081,2.2000000000007276,618170.5469748678,5746484.347899952
51.856631,-1.284081,2.400000000001455,618170.5469748678,5746484.347899952
51.856631,-1.284081,2.600000000002183,618170.5469748678,5746484.347899952
51.856631,-1.284081,2.8000000000029104,618170.5469748678,5746484.347899952
51.856631,-1.284081,3.0,618170.5469748678,5746484.347899952
51.856631,-1.284081,3.2000000000007276,618170.5469748678,5746484.347899952
51.856631,-1.284081,3.400000000001455,618170.5469748678,5746484.347899952
51.856631,-1.284081,3.600000000002183,618170.5469748678,5746484.347899952
51.856631,-1.284081,3.8000000000029104,618170.5469748678,5746484.347899952
51.856631,-1.284081,4.0,618170.5469748678,5746484.347899952
51.856631,-1.284081,4.200000000000728,618170.5469748678,5746484.347899952
51.856631,-1.284081,4.400000000001455,618170.5469748678,5746484.347899952
51.856631,-1.284081,4.600000000002183,618170.5469748678,5746484.347899952
51.856631,-1.284081,4.80000000000291,618170.5469748678,5746484.347899952
51.856631,-1.284081,5.0,618170.5469748678,5746484.347899952
51.856631,-1.284081,5.200000000000728,618170.5469748678,5746484.347899952
51.856631,-1.284081,5.400000000001455,618170.5469748678,5746484.347899952
51.856631,-1.284081,5.600000000002183,618170.5469748678,5746484.347899952
51.856631,-1.284081,5.80000000000291,618170.5469748678,5746484.347899952
51.856631,-1.284081,6.0,618170.5469748678,5746484.347899952
51.856631,-1.284081,6.200000000000728,618170.5469748678,5746484.347899952
51.856631,-1.284081,6.400000000001455,618170.5469748678,5746484.347899952
51.856631,-1.284081,6.600000000002183,618170.5469748678,5746484.347899952
51.856631,-1.28408,6.80000000000291,618170.6158372071,5746484.349522386
51.856631,-1.284081,7.0,618170.5469748678,5746484.347899952
51.85663,-1.284083,7.200000000000728,618170.4118703166,5746484.233446751
51.85663,-1.284083,7.400000000001455,618170.4118703166,5746484.233446751
51.856629,-1.284085,7.600000000002183,618170.2767657576,5746484.118993552
51.85663,-1.284084,7.80000000000291,618170.3430079757,5746484.231824319
51.85663,-1.284085,8.0,618170.2741456348,5746484.230201888
51.856628,-1.284086,8.200000000000728,618170.2105235362,5746484.006162787
51.856628,-1.284087,8.400000000001455,618170.1416611923,5746484.004540358
51.856628,-1.284089,8.600000000002183,618170.003936506,5746484.001295503
51.856628,-1.28409,8.80000000000291,618169.9350741621,5746483.999673078
51.856628,-1.284092,9.0,618169.797349474,5746483.996428228
51.856629,-1.284093,9.200000000000728,618169.7258670195,5746484.106014139
51.85663,-1.284093,9.400000000001455,618169.723246909,5746484.217222475
51.856631,-1.284094,9.600000000002183,618169.651764459,5746484.326808387
51.856632,-1.284095,9.80000000000291,618169.5802820139,5746484.4363943
51.856633,-1.284096,10.0,618169.5087995699,5746484.545980215
51.856633,-1.284097,10.200000000000728,618169.4399372335,5746484.544357796
51.856634,-1.284097,10.400000000001455,618169.437317129,5746484.65556613
51.856635,-1.284098,10.600000000002183,618169.365834691,5746484.765152046
51.856635,-1.284099,10.80000000000291,618169.2969723577,5746484.763529629
51.856636,-1.2841,11.0,618169.2254899242,5746484.87311555
51.856637,-1.284101,11.200000000000728,618169.1540074938,5746484.982701468
51.856638,-1.284102,11.400000000001455,618169.0825250681,5746485.092287391
51.856638,-1.284104,11.600000000002183,618168.9448004104,5746485.089042564
51.85664,-1.284105,11.80000000000291,618168.8706978966,5746485.309836823
51.856642,-1.284105,12.0,618168.8654577115,5746485.532253493
51.856644,-1.284105,12.200000000000728,618168.8602175261,5746485.754670164
51.856646,-1.284104,12.400000000001455,618168.9238396573,5746485.978709246
51.856647,-1.284106,12.600000000002183,618168.7834949328,5746486.08667276
51.856649,-1.284107,12.80000000000291,618168.7093924381,5746486.30746702
51.85665,-1.284108,13.0,618168.6379100395,5746486.417052947
51.856652,-1.284108,13.200000000000728,618168.6326698628,5746486.639469617
51.856654,-1.284107,13.400000000001455,618168.6962919886,5746486.8635086985
51.856656,-1.284106,13.600000000002183,618168.7599141098,5746487.087547778
51.856657,-1.284106,13.80000000000291,618168.7572940183,5746487.198756115
51.856659,-1.284104,14.0,618168.8897784285,5746487.424417608
51.856661,-1.284104,14.200000000000728,618168.8845382389,5746487.646834279
51.856663,-1.284103,14.400000000001455,618168.9481603398,5746487.870873364
51.856665,-1.284102,14.600000000002183,618169.0117824344,5746488.094912448
51.856668,-1.284102,14.80000000000291,618169.0039221402,5746488.428537456
51.856668,-1.284102,15.0,618169.0039221402,5746488.428537456
51.856668,-1.284102,15.200000000000728,618169.0039221402,5746488.428537456
51.856668,-1.284101,15.400000000001455,618169.0727844214,5746488.430159871
51.856668,-1.284101,15.600000000002183,618169.0727844214,5746488.430159871
51.856667,-1.2841,15.80000000000291,618169.1442668056,5746488.320573948
51.856667,-1.2841,16.0,618169.1442668056,5746488.320573948
51.856666,-1.284101,16.200000000000728,618169.0780246207,5746488.207743198
51.856665,-1.284102,16.400000000001455,618169.0117824344,5746488.094912448
51.856664,-1.284103,16.600000000002183,618168.9455402433,5746487.982081699
51.85666,-1.284104,16.80000000000291,618168.8871583337,5746487.535625943
51.85666,-1.284105,17.0,618168.8182960384,5746487.534003532
51.856658,-1.284106,17.200000000000728,618168.7546739266,5746487.309964449
51.856657,-1.284107,17.400000000001455,618168.6884317185,5746487.197133704
51.856656,-1.284107,17.600000000002183,618168.6910518085,5746487.085925369
