latitude,longitude,time,easting,northing
51.856627,-1.284068,0.0,618171.4526658696,5746483.924158337
51.856626,-1.284069,0.1999999999970754,618171.3864236731,5746483.811327556
51.856625,-1.284069,0.4000000000014552,618171.3890438201,5746483.700119223
51.856626,-1.284068,0.5999999999985448,618171.4552860182,5746483.812950002
51.856627,-1.284067,0.7999999999956344,618171.521528215,5746483.925780784
51.856628,-1.284067,1.0,618171.5189080648,5746484.036989118
51.856628,-1.284068,1.1999999999970754,618171.450045721,5746484.035366671
51.856629,-1.284069,1.4000000000014552,618171.3785632319,5746484.144952561
51.856629,-1.284069,1.5999999999985448,618171.3785632319,5746484.144952561
51.856627,-1.284068,1.7999999999956344,618171.4526658696,5746483.924158337
51.856628,-1.284067,2.0,618171.5189080648,5746484.036989118
51.856627,-1.284066,2.1999999999970754,618171.5903905603,5746483.927403232
51.856627,-1.284066,2.400000000001455,618171.5903905603,5746483.927403232
51.856627,-1.284065,2.599999999998545,618171.6592529056,5746483.929025681
51.856628,-1.284066,2.7999999999956344,618171.5877704087,5746484.038611567
51.856628,-1.284067,3.0,618171.5189080648,5746484.036989118
51.856628,-1.284068,3.1999999999970754,618171.450045721,5746484.035366671
51.856628,-1.284069,3.400000000001455,618171.381183379,5746484.033744225
51.856629,-1.28407,3.599999999998545,618171.3097008895,5746484.143330115
51.856629,-1.284072,3.7999999999956344,618171.171976205,5746484.140085228
51.856629,-1.284074,4.0,618171.0342515203,5746484.136840344
51.856629,-1.284075,4.199999999997075,618170.9653891779,5746484.135217903
51.856629,-1.284075,4.400000000001455,618170.9653891779,5746484.135217903
51.85663,-1.284075,4.599999999998545,618170.9627690399,5746484.24642624
51.85663,-1.284075,4.799999999995634,618170.9627690399,5746484.24642624
51.856631,-1.284075,5.0,618170.9601489019,5746484.357634574
51.856631,-1.284075,5.199999999997075,618170.9601489019,5746484.357634574
51.856631,-1.284077,5.400000000001455,618170.822424225,5746484.354389695
51.856631,-1.284078,5.599999999998545,618170.7535618858,5746484.352767258
51.856631,-1.28408,5.799999999995634,618170.6158372071,5746484.349522386
51.85663,-1.284081,6.0,618170.5495949966,5746484.2366916165
51.85663,-1.284081,6.199999999997075,618170.5495949966,5746484.2366916165
51.85663,-1.284081,6.400000000001455,618170.5495949966,5746484.2366916165
51.85663,-1.28408,6.599999999998545,618170.6184573375,5746484.238314051
51.85663,-1.28408,6.799999999995634,618170.6184573375,5746484.238314051
51.856629,-1.284079,7.0,618170.6899398102,5746484.128728152
51.856629,-1.284078,7.199999999997075,618170.7588021526,5746484.130350589
51.856628,-1.284077,7.400000000001455,618170.8302846298,5746484.020764691
51.856627,-1.284077,7.599999999998545,618170.8329047647,5746483.909556356
51.856627,-1.284077,7.799999999995634,618170.8329047647,5746483.909556356
51.856626,-1.284078,8.0,618170.7666625526,5746483.796725583
51.856626,-1.284079,8.199999999997075,618170.6978002057,5746483.795103147
51.856625,-1.284079,8.400000000001455,618170.7004203374,5746483.683894813
51.856624,-1.28408,8.599999999998545,618170.634178119,5746483.571064043
51.856624,-1.284081,8.799999999995634,618170.565315769,5746483.569441608
51.856623,-1.284081,9.0,618170.5679358976,5746483.458233273
51.856622,-1.28408,9.199999999997075,618170.6394183793,5746483.348647374
51.856621,-1.28408,9.400000000001455,618170.6420385094,5746483.237439038
51.856621,-1.28408,9.599999999998545,618170.6420385094,5746483.237439038
51.85662,-1.28408,9.799999999995634,618170.6446586393,5746483.126230703
51.85662,-1.284079,10.0,618170.7135209955,5746483.127853138
51.856619,-1.284079,10.199999999997075,618170.716141127,5746483.016644806
51.856618,-1.284078,10.400000000001455,618170.7876236177,5746482.907058907
51.856617,-1.284078,10.599999999998545,618170.7902437507,5746482.795850572
51.856616,-1.284078,10.799999999995634,618170.7928638835,5746482.684642239
51.856616,-1.284077,11.0,618170.8617262458,5746482.686264677
51.856616,-1.284076,11.199999999997075,618170.930588608,5746482.687887115
51.856616,-1.284076,11.400000000001455,618170.930588608,5746482.687887115
51.856615,-1.284077,11.599999999998545,618170.8643463802,5746482.5750563415
51.856615,-1.284078,11.799999999995634,618170.7954840165,5746482.573433904
51.856614,-1.284077,12.0,618170.8669665146,5746482.463848008
51.856612,-1.284076,12.199999999997075,618170.9410691516,5746482.243053776
51.856611,-1.284075,12.400000000001455,618171.0125516555,5746482.133467883
51.85661,-1.284073,12.599999999998545,618171.1528965356,5746482.02550443
51.856608,-1.284073,12.799999999995634,618171.1581368161,5746481.803087761
51.856607,-1.284071,13.0,618171.2984817083,5746481.695124313
51.856606,-1.284071,13.199999999997075,618171.3011018515,5746481.583915979
51.856605,-1.28407,13.400000000001455,618171.3725843737,5746481.474330088
51.856603,-1.284069,13.599999999998545,618171.446687045,5746481.253535865
51.856602,-1.284068,13.799999999995634,618171.518169573,5746481.143949977
51.856602,-1.284069,14.0,618171.4493071913,5746481.14232753
51.856602,-1.284069,14.199999999997075,618171.4493071913,5746481.14232753
51.856601,-1.284069,14.400000000001455,618171.4519273374,5746481.031119197
51.856601,-1.284069,14.599999999998545,618171.4519273374,5746481.031119197
51.8566,-1.284069,14.799999999995634,618171.4545474835,5746480.919910862
51.8566,-1.28407,15.0,618171.385685097,5746480.918288416
51.8566,-1.28407,15.199999999997075,618171.385685097,5746480.918288416
51.8566,-1.284071,15.400000000001455,618171.3168227103,5746480.916665971
51.8566,-1.284072,15.599999999998545,618171.2479603237,5746480.915043528
51.8566,-1.284074,15.799999999995634,618171.1102355504,5746480.911798644
51.856599,-1.284075,16.0,618171.0439933006,5746480.798967869
51.8566,-1.284076,16.199999999997075,618170.9725107789,5746480.908553763
51.8566,-1.284077,16.400000000001455,618170.9036483922,5746480.906931325
51.856601,-1.284079,16.599999999998545,618170.763303488,5746481.014894784
51.8566,-1.284081,16.799999999995634,618170.6281988455,5746480.900441579
51.8566,-1.284082,17.0,618170.5593364605,5746480.898819144
