latitude,longitude,time,easting,northing
51.856718,-1.284025,0.0,618174.1753070516,5746494.113882882
51.856718,-1.284025,0.19999999999708962,618174.1753070516,5746494.113882882
51.856719,-1.284025,0.4000000000014552,618174.172686834,5746494.225091217
51.856719,-1.284025,0.5999999999985448,618174.172686834,5746494.225091217
51.856719,-1.284025,0.7999999999956344,618174.172686834,5746494.225091217
51.85672,-1.284024,1.0,618174.2389288193,5746494.33792204
51.85672,-1.284024,1.1999999999970896,618174.2389288193,5746494.33792204
51.856722,-1.284024,1.4000000000014552,618174.2336883808,5746494.5603387095
51.85672,-1.284021,1.5999999999985448,618174.4455154262,5746494.342789505
51.856719,-1.28402,1.7999999999956344,618174.5169978543,5746494.233203659
51.856719,-1.28402,2.0,618174.5169978543,5746494.233203659
51.856719,-1.284019,2.1999999999970896,618174.5858600588,5746494.23482615
51.856719,-1.284019,2.400000000001455,618174.5858600588,5746494.23482615
51.856719,-1.284019,2.599999999998545,618174.5858600588,5746494.23482615
51.856719,-1.284019,2.7999999999956344,618174.5858600588,5746494.23482615
51.856719,-1.28402,3.0,618174.5169978543,5746494.233203659
51.856719,-1.28402,3.1999999999970896,618174.5169978543,5746494.233203659
51.856719,-1.28402,3.400000000001455,618174.5169978543,5746494.233203659
51.85672,-1.28402,3.599999999998545,618174.514377629,5746494.344411995
51.85672,-1.284021,3.7999999999956344,618174.4455154262,5746494.342789505
51.85672,-1.284021,4.0,618174.4455154262,5746494.342789505
51.85672,-1.284021,4.19999999999709,618174.4455154262,5746494.342789505
51.85672,-1.284022,4.400000000001455,618174.3766532233,5746494.341167016
51.856721,-1.284022,4.599999999998545,618174.3740330011,5746494.452375351
51.856721,-1.284023,4.799999999995634,618174.3051707997,5746494.450752863
51.856721,-1.284023,5.0,618174.3051707997,5746494.450752863
51.856721,-1.284024,5.19999999999709,618174.2363086,5746494.449130376
51.856721,-1.284024,5.400000000001455,618174.2363086,5746494.449130376
51.856721,-1.284025,5.599999999998545,618174.1674463986,5746494.447507889
51.856721,-1.284025,5.799999999995634,618174.1674463986,5746494.447507889
51.856721,-1.284025,6.0,618174.1674463986,5746494.447507889
51.856722,-1.284025,6.19999999999709,618174.164826181,5746494.558716223
51.856721,-1.284024,6.400000000001455,618174.2363086,5746494.449130376
51.856721,-1.284024,6.599999999998545,618174.2363086,5746494.449130376
51.856721,-1.284024,6.799999999995634,618174.2363086,5746494.449130376
51.856721,-1.284024,7.0,618174.2363086,5746494.449130376
51.85672,-1.284025,7.19999999999709,618174.1700666164,5746494.3362995535
51.85672,-1.284025,7.400000000001455,618174.1700666164,5746494.3362995535
51.85672,-1.284025,7.599999999998545,618174.1700666164,5746494.3362995535
51.85672,-1.284025,7.799999999995634,618174.1700666164,5746494.3362995535
51.85672,-1.284026,8.0,618174.1012044135,5746494.3346770685
51.85672,-1.284026,8.19999999999709,618174.1012044135,5746494.3346770685
51.85672,-1.284027,8.400000000001455,618174.0323422105,5746494.3330545835
51.856719,-1.284028,8.599999999998545,618173.9661002207,5746494.220223764
51.85672,-1.284028,8.799999999995634,618173.9634800076,5746494.331432099
51.85672,-1.284028,9.0,618173.9634800076,5746494.331432099
51.856719,-1.284028,9.19999999999709,618173.9661002207,5746494.220223764
51.856718,-1.284028,9.400000000001455,618173.9687204337,5746494.109015428
51.856718,-1.284027,9.599999999998545,618174.0375826396,5746494.110637912
51.856717,-1.284027,9.799999999995634,618174.0402028542,5746493.999429575
51.856717,-1.284028,10.0,618173.9713406466,5746493.997807093
51.856716,-1.284029,10.19999999999709,618173.9050986505,5746493.884976272
51.856715,-1.28403,10.400000000001455,618173.8388566513,5746493.772145456
51.856714,-1.284031,10.599999999998545,618173.7726146508,5746493.65931464
51.856714,-1.28403,10.799999999995634,618173.8414768612,5746493.660937121
51.856713,-1.28403,11.0,618173.844097071,5746493.549728786
51.856712,-1.284028,11.19999999999709,618173.984441711,5746493.441765414
51.856711,-1.284025,11.400000000001455,618174.1936485737,5746493.335424532
51.856709,-1.284022,11.599999999998545,618174.4054756657,5746493.117875324
51.856709,-1.284019,11.799999999995634,618174.6120623248,5746493.122742794
